============================================================
ROWS WITH EMPTY TARGET COLUMN
============================================================
Timestamp: 2025-12-11 15:38:34
Total rows with empty column: 4675
Row 643: Target column is empty
Row 644: Target column is empty
Row 645: Target column is empty
Row 646: Target column is empty
Row 647: Target column is empty
Row 648: Target column is empty
Row 649: Target column is empty
Row 650: Target column is empty
Row 651: Target column is empty
Row 652: Target column is empty
Row 653: Target column is empty
Row 654: Target column is empty
Row 655: Target column is empty
Row 656: Target column is empty
Row 657: Target column is empty
Row 658: Target column is empty
Row 659: Target column is empty
Row 660: Target column is empty
Row 661: Target column is empty
Row 662: Target column is empty
Row 663: Target column is empty
Row 664: Target column is empty
Row 665: Target column is empty
Row 666: Target column is empty
Row 667: Target column is empty
Row 668: Target column is empty
Row 669: Target column is empty
Row 670: Target column is empty
Row 671: Target column is empty
Row 672: Target column is empty
Row 673: Target column is empty
Row 674: Target column is empty
Row 675: Target column is empty
Row 676: Target column is empty
Row 677: Target column is empty
Row 678: Target column is empty
Row 679: Target column is empty
Row 680: Target column is empty
Row 681: Target column is empty
Row 682: Target column is empty
Row 683: Target column is empty
Row 684: Target column is empty
Row 685: Target column is empty
Row 686: Target column is empty
Row 687: Target column is empty
Row 688: Target column is empty
Row 689: Target column is empty
Row 690: Target column is empty
Row 691: Target column is empty
Row 692: Target column is empty
Row 693: Target column is empty
Row 694: Target column is empty
Row 695: Target column is empty
Row 696: Target column is empty
Row 697: Target column is empty
Row 698: Target column is empty
Row 699: Target column is empty
Row 700: Target column is empty
Row 701: Target column is empty
Row 702: Target column is empty
Row 703: Target column is empty
Row 704: Target column is empty
Row 705: Target column is empty
Row 706: Target column is empty
Row 707: Target column is empty
Row 708: Target column is empty
Row 709: Target column is empty
Row 710: Target column is empty
Row 711: Target column is empty
Row 712: Target column is empty
Row 713: Target column is empty
Row 714: Target column is empty
Row 715: Target column is empty
Row 716: Target column is empty
Row 717: Target column is empty
Row 718: Target column is empty
Row 719: Target column is empty
Row 720: Target column is empty
Row 721: Target column is empty
Row 722: Target column is empty
Row 723: Target column is empty
Row 724: Target column is empty
Row 725: Target column is empty
Row 726: Target column is empty
Row 727: Target column is empty
Row 728: Target column is empty
Row 729: Target column is empty
Row 730: Target column is empty
Row 731: Target column is empty
Row 732: Target column is empty
Row 733: Target column is empty
Row 734: Target column is empty
Row 735: Target column is empty
Row 736: Target column is empty
Row 737: Target column is empty
Row 738: Target column is empty
Row 739: Target column is empty
Row 740: Target column is empty
Row 741: Target column is empty
Row 742: Target column is empty
Row 743: Target column is empty
Row 744: Target column is empty
Row 745: Target column is empty
Row 746: Target column is empty
Row 747: Target column is empty
Row 748: Target column is empty
Row 749: Target column is empty
Row 750: Target column is empty
Row 751: Target column is empty
Row 752: Target column is empty
Row 753: Target column is empty
Row 754: Target column is empty
Row 755: Target column is empty
Row 756: Target column is empty
Row 757: Target column is empty
Row 758: Target column is empty
Row 759: Target column is empty
Row 760: Target column is empty
Row 761: Target column is empty
Row 762: Target column is empty
Row 763: Target column is empty
Row 764: Target column is empty
Row 765: Target column is empty
Row 766: Target column is empty
Row 767: Target column is empty
Row 768: Target column is empty
Row 769: Target column is empty
Row 770: Target column is empty
Row 771: Target column is empty
Row 772: Target column is empty
Row 773: Target column is empty
Row 774: Target column is empty
Row 775: Target column is empty
Row 776: Target column is empty
Row 777: Target column is empty
Row 778: Target column is empty
Row 779: Target column is empty
Row 780: Target column is empty
Row 781: Target column is empty
Row 782: Target column is empty
Row 783: Target column is empty
Row 784: Target column is empty
Row 785: Target column is empty
Row 786: Target column is empty
Row 787: Target column is empty
Row 788: Target column is empty
Row 789: Target column is empty
Row 790: Target column is empty
Row 791: Target column is empty
Row 792: Target column is empty
Row 793: Target column is empty
Row 794: Target column is empty
Row 795: Target column is empty
Row 796: Target column is empty
Row 797: Target column is empty
Row 798: Target column is empty
Row 799: Target column is empty
Row 800: Target column is empty
Row 801: Target column is empty
Row 802: Target column is empty
Row 803: Target column is empty
Row 804: Target column is empty
Row 805: Target column is empty
Row 806: Target column is empty
Row 807: Target column is empty
Row 808: Target column is empty
Row 809: Target column is empty
Row 810: Target column is empty
Row 811: Target column is empty
Row 812: Target column is empty
Row 813: Target column is empty
Row 814: Target column is empty
Row 815: Target column is empty
Row 816: Target column is empty
Row 817: Target column is empty
Row 818: Target column is empty
Row 819: Target column is empty
Row 820: Target column is empty
Row 821: Target column is empty
Row 822: Target column is empty
Row 823: Target column is empty
Row 824: Target column is empty
Row 825: Target column is empty
Row 826: Target column is empty
Row 827: Target column is empty
Row 828: Target column is empty
Row 829: Target column is empty
Row 830: Target column is empty
Row 831: Target column is empty
Row 832: Target column is empty
Row 833: Target column is empty
Row 834: Target column is empty
Row 835: Target column is empty
Row 836: Target column is empty
Row 837: Target column is empty
Row 838: Target column is empty
Row 839: Target column is empty
Row 840: Target column is empty
Row 841: Target column is empty
Row 842: Target column is empty
Row 843: Target column is empty
Row 844: Target column is empty
Row 845: Target column is empty
Row 846: Target column is empty
Row 847: Target column is empty
Row 848: Target column is empty
Row 849: Target column is empty
Row 850: Target column is empty
Row 851: Target column is empty
Row 852: Target column is empty
Row 853: Target column is empty
Row 854: Target column is empty
Row 855: Target column is empty
Row 856: Target column is empty
Row 857: Target column is empty
Row 858: Target column is empty
Row 859: Target column is empty
Row 860: Target column is empty
Row 861: Target column is empty
Row 862: Target column is empty
Row 863: Target column is empty
Row 864: Target column is empty
Row 865: Target column is empty
Row 866: Target column is empty
Row 867: Target column is empty
Row 868: Target column is empty
Row 869: Target column is empty
Row 870: Target column is empty
Row 871: Target column is empty
Row 872: Target column is empty
Row 873: Target column is empty
Row 874: Target column is empty
Row 875: Target column is empty
Row 876: Target column is empty
Row 877: Target column is empty
Row 878: Target column is empty
Row 879: Target column is empty
Row 880: Target column is empty
Row 881: Target column is empty
Row 882: Target column is empty
Row 883: Target column is empty
Row 884: Target column is empty
Row 885: Target column is empty
Row 886: Target column is empty
Row 887: Target column is empty
Row 888: Target column is empty
Row 889: Target column is empty
Row 890: Target column is empty
Row 891: Target column is empty
Row 892: Target column is empty
Row 893: Target column is empty
Row 894: Target column is empty
Row 895: Target column is empty
Row 896: Target column is empty
Row 897: Target column is empty
Row 898: Target column is empty
Row 899: Target column is empty
Row 900: Target column is empty
Row 901: Target column is empty
Row 902: Target column is empty
Row 903: Target column is empty
Row 904: Target column is empty
Row 905: Target column is empty
Row 906: Target column is empty
Row 907: Target column is empty
Row 908: Target column is empty
Row 909: Target column is empty
Row 910: Target column is empty
Row 911: Target column is empty
Row 912: Target column is empty
Row 913: Target column is empty
Row 914: Target column is empty
Row 915: Target column is empty
Row 916: Target column is empty
Row 917: Target column is empty
Row 918: Target column is empty
